altermu, mu[1], 0.000237554708548784, 0.00025773699999966695
altermu, mu[3], 0.0008004499456703007, 0.0016724645694131124
altermu2, mu[1], 5.4683339597794145e-05, 0.0005135049507728473
radar_query1, b, 0.00024414061698152523, 4.445113432893777e-08
anova_radon_nopred, a[1], 0.0024350258480135833, 9.761422951726217e-05
anova_radon_nopred, sigma_y, 0.0009896002657340253, 0.000565802022355899
gammaTransform, X, 4.440892098500626e-16, 0.01596625048655742
unemployment, beta[1], 0.3253647121592316, 1.1620141327162159e-05
unemployment, beta[2], 0.027447837530673813, 4.690336988799615e-06
unemployment, sigma, 0.13414010135428267, 0.0004189291928632377
lightspeed, beta[1], 0.015013666285142335, 0.003206835216591486
lightspeed, sigma, 0.019890558101060662, 0.003892593055452309
gauss_mix_asym_prior, mu[1], 0.29243055077841484, 0.0019286683577939279
gauss_mix_asym_prior, mu[2], 0.0997626445765123, 0.00048272733013865476
gauss_mix_asym_prior, sigma[1], 0.4558948323901688, 0.007277654078697626
gauss_mix_asym_prior, sigma[2], 0.07098957937635386, 0.0010999050501599994
normal_mixture, theta, 0.04694614694146493, 0.1071308816503429
normal_mixture, mu[1], 2.9110381228019877, 4.673574998285518
normal_mixture, mu[2], 3.0176345606257424, 4.423150292084034
timeseries, alpha, 1.1735615756329258, 0.0012113426479134493
timeseries, beta, 0.43388205227436305, 0.00012751852997949786
timeseries, lambda, 0.1537811250584894, 0.0004054419849793822
unemployment_5, beta[1], 0.2693067572702357, 0.004118950542330468
unemployment_5, beta[2], 0.09568911043340644, 0.0013731473754110546
unemployment_5, sigma, 0.21079201304406037, 0.061579374480204896
zeroone, w1, 1.4141587901458927, 0.09658230324479289
zeroone, w1, 0.0025296721124151295, 0.09658230324479289
zeroone, w1, 0.0025296721124151295, 0.09658230324479289
zeroone, w1, 0.0025296721124151295, 0.09658230324479289
zeroone, w1, 0.0025296721124151295, 0.09658230324479289
zeroone, w1, 0.0025296721124151295, 0.09658230324479289
zeroone, w1, 0.0025296721124151295, 0.09658230324479289
gauss_mix_asym_prior, mu[1], 0.13359999919562293, 0.0019286683577939279
gauss_mix_asym_prior, mu[2], 0.1481316240692916, 0.00048272733013865476
gauss_mix_asym_prior, sigma[1], 0.17085265154534812, 0.007277654078697626
gauss_mix_asym_prior, sigma[2], 0.20084680486724316, 0.0010999050501599994
unemployment, beta[1], 0.01750781247259603, 1.1620141327162159e-05
unemployment, beta[2], 0.15537154735127767, 4.690336988799615e-06
unemployment, sigma, 0.19663991500117017, 0.0004189291928632377
lightspeed, beta[1], 1.3236371524893187, 0.003206835216591486
lightspeed, beta[1], 1.3236371524893187, 0.003206835216591486
lightspeed, sigma, 0.019845854237123817, 0.003892593055452309
lightspeed, sigma, 0.019845854237123817, 0.003892593055452309
timeseries, alpha, 0.5238023926115891, 0.0012113426479134493
timeseries, alpha, 1.1735615756329258, 0.0012113426479134493
timeseries, beta, 0.06303325576245244, 0.00012751852997949786
timeseries, lambda, 0.023948448504937492, 0.0004054419849793822
unemployment, beta[1], 0.3253647121592316, 1.1620141327162159e-05
unemployment, beta[1], 0.01750781247259603, 1.1620141327162159e-05
unemployment, beta[1], 0.3253647121592316, 1.1620141327162159e-05
unemployment, beta[1], 0.3253647121592316, 1.1620141327162159e-05
unemployment, beta[1], 0.3253647121592316, 1.1620141327162159e-05
unemployment, beta[1], 0.3253647121592316, 1.1620141327162159e-05
unemployment_1, beta[1], 0.23134668700849925, 0.35363733370807016
unemployment_1, beta[1], 0.23134668700849925, 0.35363733370807016
unemployment_1, beta[2], 0.14153343760181714, 0.16288090861342142
unemployment_1, sigma, 2.68094435401569, 13.987338246546477
unemployment_1, beta[1], 0.23134668700849925, 0.35363733370807016
anova_radon_nopred, a[1], 0.0015299050857623397, 9.761422951726217e-05
anova_radon_nopred, a[1], 0.0015299050857623397, 9.761422951726217e-05
anova_radon_nopred, a[1], 0.0024350258480135833, 9.761422951726217e-05
anova_radon_nopred, a[1], 0.0015299050857623397, 9.761422951726217e-05
anova_radon_nopred, sigma_y, 3.489424399649721e-05, 0.000565802022355899
lightspeed, beta[1], 0.34746884795617206, 0.003206835216591486
lightspeed, beta[1], 1.3236371524893187, 0.003206835216591486
lightspeed, beta[1], 1.3334213845521816, 0.003206835216591486
lightspeed, beta[1], 0.34746884795617206, 0.003206835216591486
lightspeed, sigma, 0.048758688446541854, 0.003892593055452309
gauss_mix_asym_prior, mu[1], 0.07263399567247708, 0.0019286683577939279
anova_radon_nopred, a[1], 0.020880715374268055, 9.761422951726217e-05
anova_radon_nopred, a[1], 0.0015299050857623397, 9.761422951726217e-05
anova_radon_nopred, a[1], 0.020880715374268055, 9.761422951726217e-05
anova_radon_nopred, a[1], 0.0015299050857623397, 9.761422951726217e-05
anova_radon_nopred, a[1], 0.020880715374268055, 9.761422951726217e-05
anova_radon_nopred, sigma_y, 0.00020824583351541914, 0.000565802022355899
lightspeed, beta[1], 0.34746884795617206, 0.003206835216591486
lightspeed, sigma, 0.08781372621028893, 0.003892593055452309
lightspeed, sigma, 0.048758688446541854, 0.003892593055452309
lightspeed, sigma, 0.08781372621028893, 0.003892593055452309
gauss_mix_asym_prior, mu[1], 0.07263399567247708, 0.0019286683577939279
gauss_mix_asym_prior, mu[2], 0.15281897101416053, 0.00048272733013865476
gauss_mix_asym_prior, sigma[1], 0.22491612544064954, 0.007277654078697626
gauss_mix_asym_prior, sigma[2], 0.14771637134797366, 0.0010999050501599994
gauss_mix_asym_prior, sigma[2], 0.20084680486724316, 0.0010999050501599994
gauss_mix_asym_prior, sigma[2], 0.14771637134797366, 0.0010999050501599994
timeseries, alpha, 0.470584755692937, 0.0012113426479134493
timeseries, alpha, 0.5238023926115891, 0.0012113426479134493
timeseries, alpha, 0.470584755692937, 0.0012113426479134493
timeseries, beta, 0.07268242943009007, 0.00012751852997949786
timeseries, lambda, 0.032220510651414846, 0.0004054419849793822
gauss_mix_asym_prior, mu[1], 0.07263399567247708, 0.0019286683577939279
anova_radon_nopred, a[1], 0.020880715374268055, 9.761422951726217e-05
anova_radon_nopred, sigma_y, 0.00020824583351541914, 0.000565802022355899
unemployment, beta[1], 0.4400460242403239, 1.1620141327162159e-05
unemployment, beta[2], 0.051420659839697125, 4.690336988799615e-06
unemployment, sigma, 0.32002442980246004, 0.0004189291928632377
anova_radon_nopred 1 observation, a, 0.004591585871899062, 0.0028328507128320135
anova_radon_nopred_oneobs, a, 0.004591585871899062, 0.0028328507128320135
anova_radon_nopred, a, 0.004591585871899062, 0.0028328507128320135
anova_radon_nopred, sigmay, 0.03985259757152315, 0.025983262605357993
shifted_anova, a, 0.008534412320032325, 0.0028328507128320135
shifted_anova, sigma_y, 0.011334272891174724, 0.025983262605357993
shifted_anova, a, 0.0041892998607827026, 0.0028328507128320135
shifted_anova, sigma_y, 0.03769602686886975, 0.025983262605357993
anova_radon_nopred, a, 0.004591585871899062, 0.0028328507128320135
anova_radon_nopred, a, 0.004591585871899062, 0.0028328507128320135
anova_radon_nopred, a, 0.011025245746444645, 0.0028328507128320135
anova_radon_nopred, a, 0.00014114373764245736, 0.0028328507128320135
anova_radon_nopred, a, 0.004591585871899062, 0.0028328507128320135
anova_radon_nopred, a, 0.06268555273154419, 0.33291523821283203
anova_radon_nopred, a, 0.06268555273154419, 0.33291523821283203
anova_radon_nopred, a, 0.06268555273154419, 0.33291523821283203
anova_radon_nopred, a, 0.06268555273154419, 0.33291523821283203
anova_radon_nopred, a, 0.06268555273154419, 0.33291523821283203
anova_radon_nopred, a, 0.3380360312376425, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33291523821283203
anova_radon_nopred, a, 0.30991294836421446, 0.33291523821283203
anova_radon_nopred, a, 0.3234598415936958, 0.33291523821283203
anova_radon_nopred, a, 0.3234598415936958, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33291523821283203
anova_radon_nopred, a, 0.30635276835831315, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33291523821283203
anova_radon_nopred, a, 0.30635276835831315, 0.33291523821283203
anova_radon_nopred, a, 0.2825356662861438, 0.33304987223690286
